x_coord,y_coord,visibility_count
690999.4257130085,5336060.859748492,0
690999.4257130085,5336070.859748492,0
690999.4257130085,5336080.859748492,0
690999.4257130085,5336090.859748492,0
690999.4257130085,5336100.859748492,0
690999.4257130085,5336110.859748492,0
690999.4257130085,5336120.859748492,0
690999.4257130085,5336130.859748492,0
690999.4257130085,5336140.859748492,0
690999.4257130085,5336150.859748492,0
690999.4257130085,5336160.859748492,0
690999.4257130085,5336170.859748492,0
690999.4257130085,5336180.859748492,0
690999.4257130085,5336190.859748492,0
690999.4257130085,5336200.859748492,0
690999.4257130085,5336210.859748492,0
690999.4257130085,5336220.859748492,0
691009.4257130085,5336060.859748492,0
691009.4257130085,5336070.859748492,0
691009.4257130085,5336080.859748492,0
691009.4257130085,5336090.859748492,0
691009.4257130085,5336100.859748492,0
691009.4257130085,5336110.859748492,0
691009.4257130085,5336120.859748492,0
691009.4257130085,5336130.859748492,0
691009.4257130085,5336140.859748492,0
691009.4257130085,5336150.859748492,0
691009.4257130085,5336160.859748492,0
691009.4257130085,5336170.859748492,0
691009.4257130085,5336180.859748492,0
691009.4257130085,5336190.859748492,0
691009.4257130085,5336200.859748492,0
691009.4257130085,5336210.859748492,0
691009.4257130085,5336220.859748492,0
691019.4257130085,5336060.859748492,0
691019.4257130085,5336070.859748492,0
691019.4257130085,5336080.859748492,0
691019.4257130085,5336090.859748492,0
691019.4257130085,5336100.859748492,0
691019.4257130085,5336110.859748492,0
691019.4257130085,5336120.859748492,0
691019.4257130085,5336130.859748492,0
691019.4257130085,5336140.859748492,0
691019.4257130085,5336150.859748492,0
691019.4257130085,5336160.859748492,0
691019.4257130085,5336170.859748492,0
691019.4257130085,5336180.859748492,0
691019.4257130085,5336190.859748492,0
691019.4257130085,5336200.859748492,0
691019.4257130085,5336210.859748492,0
691019.4257130085,5336220.859748492,0
691029.4257130085,5336060.859748492,0
691029.4257130085,5336070.859748492,0
691029.4257130085,5336080.859748492,0
691029.4257130085,5336090.859748492,0
691029.4257130085,5336100.859748492,0
691029.4257130085,5336110.859748492,0
691029.4257130085,5336120.859748492,0
691029.4257130085,5336130.859748492,0
691029.4257130085,5336140.859748492,0
691029.4257130085,5336150.859748492,0
691029.4257130085,5336160.859748492,0
691029.4257130085,5336170.859748492,0
691029.4257130085,5336180.859748492,0
691029.4257130085,5336190.859748492,0
691029.4257130085,5336200.859748492,0
691029.4257130085,5336210.859748492,0
691029.4257130085,5336220.859748492,0
691039.4257130085,5336060.859748492,0
691039.4257130085,5336070.859748492,0
691039.4257130085,5336080.859748492,0
691039.4257130085,5336090.859748492,0
691039.4257130085,5336100.859748492,0
691039.4257130085,5336110.859748492,0
